number,state,title,type,component
138,CLOSED,enhancement: VectorStore k parameter has no positive-integer validation — k:0 or k:-1 causes a confusing deep error,(unclassified),(unclassified)
137,CLOSED,"bug: RedisSearchStore#ensure_index has a race condition on concurrent initialization — code comment says ""not thread-safe""",(unclassified),(unclassified)
136,CLOSED,documentation: README Configuration section omits trace_pii option and its limitations,(unclassified),(unclassified)
135,CLOSED,bug: EventLoop#stop uses Thread#kill — unsafe shutdown that can leave mutexes locked and skip ensure blocks,(unclassified),(unclassified)
134,CLOSED,enhancement: EventLoop silently drops events for unknown target_id — no log warning makes debugging very difficult,(unclassified),(unclassified)
133,CLOSED,enhancement: Orchestrator#dispatch_parallel has no timeout — single hung worker blocks all parallel tasks indefinitely,(unclassified),(unclassified)
132,CLOSED,bug: Orchestrator#subagent does not propagate parent config or thread_id to sub-agents,(unclassified),(unclassified)
131,CLOSED,enhancement: Tool::Base schema validation does not recurse into nested object/array params,(unclassified),(unclassified)
130,CLOSED,bug: Tool::Base passes through unknown parameter keys into tool result — silent injection risk,(unclassified),(unclassified)
129,CLOSED,bug: TokenEstimator severely under-counts CJK tokens (~4x) — README lacks warning and tokenizer configuration example,(unclassified),(unclassified)
128,CLOSED,bug: thread-local context cache uses object_id as key — unbounded memory growth and stale-data risk in long-lived processes,(unclassified),(unclassified)
127,CLOSED,"bug: static_knowledge is fetched on every Agent#invoke — documentation says ""loaded once"" but implementation re-fetches each call",(unclassified),(unclassified)
126,CLOSED,bug: tool_aliases is not inherited by subclasses — parent agent's aliases are invisible to child agents,(unclassified),(unclassified)
125,CLOSED,bug: ReactAgent returns raw tool result as output when max_iterations is exhausted mid-tool-call cycle,(unclassified),(unclassified)
124,CLOSED,"enhancement: Workflow DSL has no build-time validation — undefined states, unreachable states, and missing initial state go undetected until runtime",(unclassified),(unclassified)
123,CLOSED,bug: WorkflowContext#merge is shallow — unmutated fields share object references with the original context,(unclassified),(unclassified)
122,CLOSED,bug: WorkflowContext field non-Proc defaults are shared across instances — mutable default mutation leaks between context objects,(unclassified),(unclassified)
121,CLOSED,enhancement: WorkflowContext silently ignores unknown field keys in initialize — typos go undetected,(unclassified),(unclassified)
120,CLOSED,enhancement: McpTool discards required/enum/nested schema from MCP inputSchema — poor schema fidelity,(unclassified),(unclassified)
119,CLOSED,bug: ParallelToolChat spawns unlimited threads for tool calls — no max_parallel_tools bound,(unclassified),(unclassified)
118,CLOSED,bug: trace_pii=false only redacts input — LLM output and tool results are still sent to tracer unredacted,(unclassified),(unclassified)
117,CLOSED,bug: MCP StdioTransport#rpc_call has no read timeout — blocks indefinitely if server stalls,(unclassified),(unclassified)
116,CLOSED,"enhancement: no unified timeout/cancellation mechanism across Agent, Workflow, Orchestrator, and EventLoop",(unclassified),(unclassified)
115,CLOSED,"bug: child AgentFSM exception does not notify parent FSMSession, causing parent workflow to hang indefinitely",(unclassified),(unclassified)
114,CLOSED,"bug: WorkflowContext :merge type comment says ""deep-merges"" but implementation is shallow merge",(unclassified),(unclassified)
113,CLOSED,"docs: archived design doc incorrectly lists Tool::Base#scope, #on_error, #requires_approval as not implemented",(unclassified),(unclassified)
112,CLOSED,docs: CHANGELOG [Unreleased] missing entry for WorkflowContext adoption bug fix (#107),(unclassified),(unclassified)
111,CLOSED,spec gap: no integration test for s.merge(...) entry actions in EventLoop (event_loop=true) mode,(unclassified),(unclassified)
110,CLOSED,spec gap: integration spec missing coverage for immutable-update style (s.merge) entry actions,(unclassified),(unclassified)
109,CLOSED,docs: spec/design/04_api_design.md contains stale API examples that no longer exist in the gem,(unclassified),(unclassified)
108,CLOSED,docs: WorkflowRunner and Workflow::Builder#entry comments incorrectly state that action return values are ignored,(unclassified),(unclassified)
107,CLOSED,bug: FSMSession silently discards WorkflowContext returned by entry actions (EventLoop mode),(unclassified),(unclassified)
106,CLOSED,"docs: TeamCoordinator is described as a ""worker pool"" but tasks are dispatched sequentially",(unclassified),(unclassified)
105,CLOSED,"chore: vendor/bundle (3,524 files) is tracked by git despite being in .gitignore",(unclassified),(unclassified)
104,CLOSED,security: trace_pii defaults to true — PII is forwarded to tracers without explicit opt-in,(unclassified),(unclassified)
103,CLOSED,docs: CHANGELOG is missing the [0.6.0] release section,(unclassified),(unclassified)
102,CLOSED,spec gap: README Workflow examples are not covered by executable specs (only syntax-checked),(unclassified),(unclassified)
101,CLOSED,bug: Workflow action return value (WorkflowContext#merge result) is silently discarded,(unclassified),(unclassified)
99,CLOSED,feat: Add max_concurrency and on_error to dispatch_parallel,(unclassified),(unclassified)
98,CLOSED,feat: Add embedding dimension validation to VectorStore backends,(unclassified),(unclassified)
97,CLOSED,InMemory#search raises RuntimeError under concurrent add+search due to Hash iteration violation,(unclassified),(unclassified)
96,CLOSED,CHANGELOG date for v0.5.1 is 2026-05-21 but v0.5.2 is 2026-05-20 — incorrect ordering,(unclassified),(unclassified)
95,CLOSED,from_server does not close the short-lived transport when fetch_tool raises,(unclassified),(unclassified)
94,CLOSED,McpTool#close comment incorrectly states that execute after close raises an error,(unclassified),(unclassified)
93,CLOSED,register_workflow_context comments reference removed StateStore — update or remove API,(unclassified),(unclassified)
92,CLOSED,McpTool has no public close API — child processes cannot be deterministically shut down,(unclassified),(unclassified)
91,CLOSED,spec/design/17_rails_integration.md describes removed functionality — archive or annotate,(unclassified),(unclassified)
90,CLOSED,CHANGELOG v0.5.1 MCP entry incorrectly describes a Mutex fix,(unclassified),(unclassified)
88,CLOSED,Add version guard to ruby_llm_patches.rb,(unclassified),(unclassified)
87,CLOSED,README: fix misleading descriptions and outdated examples table,(unclassified),(unclassified)
86,CLOSED,Fix thread-safety of MCP StdioTransport#rpc_call and add missing require,(unclassified),(unclassified)
85,CLOSED,Remove broken Rails generator and Railtie remnants,(unclassified),(unclassified)
81,CLOSED,feat: Add Agent suspend/resume API (replace halt/resume pattern with first-class public API),(unclassified),(unclassified)
80,CLOSED,"README PII description mentions ""SSNs"" but implementation detects Japanese My Numbers, not SSNs",(unclassified),(unclassified)
79,CLOSED,CHANGELOG contains stale version references and incorrect API descriptions,(unclassified),(unclassified)
78,CLOSED,"`McpTool` class comment incorrectly states ""stdio transport only"" when HTTP transport is also implemented",(unclassified),(unclassified)
77,CLOSED,`max_actors` missing from README configuration reference; LRU eviction limitations undocumented,(unclassified),(unclassified)
76,CLOSED,"README documents non-existent Memory API (`memory_compression`, `WindowMemory`, `ActiveRecordMemory`, `SemanticMemory`)",(unclassified),(unclassified)
75,CLOSED,Enhancement: Add Ruby 3.4 to CI matrix (gemspec supports >= 3.2.0),(unclassified),(unclassified)
74,CLOSED,Enhancement: Clarify that TrustPipeline citations are LLM-self-reported and not externally verified,(unclassified),(unclassified)
73,CLOSED,Bug: Tool :return_error mode silently passes string integers — execute receives String instead of Integer,(unclassified),(unclassified)
72,CLOSED,Bug: ThreadActorRegistry has no upper-bound on thread growth (unbounded thread accumulation),(unclassified),(unclassified)
71,CLOSED,Enhancement: Add feature stability labels to README,(unclassified),(unclassified)
70,CLOSED,"Bug: vendor/bundle (3524 files, ~14 MB) is packaged inside the published gem",(unclassified),(unclassified)
69,CLOSED,Bug: README send_event example uses wrong API signature,(unclassified),(unclassified)
67,CLOSED,"refactor(actor): replace connection/resource Mutexes with Actor model in LangfuseTracer, StdioTransport, TrustPipeline, and RedisSearch",(unclassified),(unclassified)
66,CLOSED,refactor(actor): lift Actor model from Storage layer to Agent#invoke to eliminate shared-state Mutexes,(unclassified),(unclassified)
65,CLOSED,refactor(memory): replace per-thread Mutex with Queue-based actor in Storage::InMemory,(unclassified),(unclassified)
64,CLOSED,[Refactor] ParallelNode: provide isolation_factory to prevent shared mutable collaborators across branches,(unclassified),(unclassified)
63,CLOSED,"[Refactor] ConversationManager: eliminate internal shared-state Hashes (@raw_seq_hwm, @thread_mutexes)",(unclassified),(unclassified)
62,CLOSED,[Spec Gap] Memory::Compression::Summary: no unit spec,(unclassified),(unclassified)
61,CLOSED,[Bug][Low] Tracing::LangfuseTracer#ingest: new TCP connection created on every span,(unclassified),(unclassified)
60,CLOSED,[Bug][Low] Memory::ConversationManager: @raw_seq_hwm Hash not protected by a dedicated mutex,(unclassified),(unclassified)
59,CLOSED,[Bug][Medium] Memory::Storage::ActiveRecord#append_raw: no transaction around multiple create! calls,(unclassified),(unclassified)
58,CLOSED,[Bug][High] Memory::Compression::Summary#compact: unrescued LLM error propagates through ConversationManager#save,(unclassified),(unclassified)
57,CLOSED,[Bug][Mid] VectorStore::RedisSearch#ensure_index! has no mutex: @index_created can become stale after concurrent clear + add,(unclassified),(unclassified)
56,CLOSED,Spec gap: Memory::Storage::ActiveRecord has no dedicated unit spec,(unclassified),(unclassified)
55,CLOSED,ContextVersionCache#update is not thread-safe: partial state visible to concurrent threads sharing agent instances (TrustPipeline),(unclassified),(unclassified)
54,CLOSED,"ActiveRecord::Storage#save converts nil message content to empty string, causing incorrect ReactAgent output on resume",(unclassified),(unclassified)
53,CLOSED,Replace deprecated OpenStruct with Struct in compression and tracing classes,(unclassified),(unclassified)
52,CLOSED,Spec gap: Eval::Runner#run concurrent callable exception contract is not tested,(unclassified),(unclassified)
51,CLOSED,Spec gap: Memory::Retrieval::Semantic#index re-indexing and deduplication contract not tested,(unclassified),(unclassified)
50,CLOSED,Spec gap: StateStore::InMemory thread-safety contract is not specified or tested,(unclassified),(unclassified)
49,CLOSED,[Bug][Mid] Eval::Runner#run with concurrency > 1: callable exceptions orphan threads and leave results array with nil entries,(unclassified),(unclassified)
48,CLOSED,"[Bug][Mid] Tool::Base#params_schema always converts enum values to String, producing invalid JSON Schema for :integer/:float params",(unclassified),(unclassified)
47,CLOSED,[Bug][Mid] VectorStore::InMemory has no mutex: concurrent add/remove/search on @documents Hash causes data races,(unclassified),(unclassified)
46,CLOSED,[Bug][High] Memory::Retrieval::Semantic#index re-indexes ALL messages on every save: O(n²) embedding API calls and duplicate vector entries,(unclassified),(unclassified)
45,CLOSED,[Bug][High] StateStore::InMemory has no mutex: concurrent invocations sharing the same store race on @store Hash,(unclassified),(unclassified)
44,CLOSED,"ConversationManager#save: compress_and_save runs outside @append_mutex, allowing concurrent compaction race",(unclassified),(unclassified)
43,CLOSED,"add_subgraph passes parent thread_id to child graph, causing StateStore key collision",(unclassified),(unclassified)
42,CLOSED,Unmapped conditional edge result causes silent premature graph termination,(unclassified),(unclassified)
41,CLOSED,Handoff tool_name collision when multiple targets share the same class name,(unclassified),(unclassified)
40,CLOSED,Agent::Base#stream and ReactAgent#stream produce no trace span,(unclassified),(unclassified)
39,CLOSED,ReactAgent#invoke bypasses Base#invoke retry_policy,(unclassified),(unclassified)
38,CLOSED,[Enhancement][Low] Eval::Runner#run is sequential: no concurrency option for large evaluation datasets,(unclassified),(unclassified)
37,CLOSED,[Docs][Low] Agent::Base on_trim callback: argument type (Integer vs Message object) not documented in YARD or README,(unclassified),(unclassified)
36,CLOSED,[Bug][Low] Memory::Retrieval::Semantic: potential nested mutex lock-order deadlock with VectorStore,(unclassified),(unclassified)
35,CLOSED,[Test][Low] Missing spec for ReactAgent when max_iterations is exhausted,(unclassified),(unclassified)
34,CLOSED,[Bug][Low] Assembler#trim_messages_to_budget: silently returns [] when budget is already exhausted by system context,(unclassified),(unclassified)
33,CLOSED,[Low] gemspec: duplicate rubygems_mfa_required metadata with misleading comment encouraging MFA disablement,(unclassified),(unclassified)
32,CLOSED,[Bug][Low] PiiPatternDetector: my_number regex overlaps with credit card patterns; no check-digit validation,(unclassified),(unclassified)
31,CLOSED,[Security][Medium] TrustPipeline: draft_prompt/review_prompt embeds raw user input without delimiters — prompt injection risk,(unclassified),(unclassified)
30,CLOSED,[Bug][Medium] Agent::Base temperature DSL: temperature(0) may not be stored due to falsy guard condition,(unclassified),(unclassified)
29,CLOSED,[Bug][Medium] TokenEstimator: chars/4 heuristic underestimates Japanese/CJK text by ~2x causing silent context overflow,(unclassified),(unclassified)
28,CLOSED,"[Bug][Medium] LangfuseTracer: all ingestion errors silently swallowed with nil rescue, no logging",(unclassified),(unclassified)
27,CLOSED,[Bug][Medium] ConversationManager: TTL purge causes sequence number collision in subsequent append_new_messages,(unclassified),(unclassified)
26,CLOSED,[Performance][Medium] Memory::Storage::ActiveRecord#save is O(n) writes per turn: delete_all + full re-insert,(unclassified),(unclassified)
25,CLOSED,"[Security][Medium] Agent::Runner handoff sentinel: class name in sentinel reduces unpredictability, prompt injection risk",(unclassified),(unclassified)
24,CLOSED,"[Bug][Medium] ReactAgent: output may be nil when max_iterations is exhausted, no warning raised",(unclassified),(unclassified)
23,CLOSED,"[Bug][High] McpTool HttpTransport#call_tool: JSON-RPC error field not checked, server errors silently ignored",(unclassified),(unclassified)
22,CLOSED,[Bug][High] McpTool StdioTransport: discarded stderr causes pipe deadlock; discarded wait_thr causes zombie processes,(unclassified),(unclassified)
21,CLOSED,[Bug][High] TrustPipeline: shared agent instances in cached CompiledGraph cause race conditions under concurrent invoke,(unclassified),(unclassified)
20,CLOSED,[Bug][High][Security] Assembler: XML injection possible via unescaped knowledge text/source attributes,(unclassified),(unclassified)
19,CLOSED,[Bug][High] ParallelNode: Thread#raise on timeout causes resource leaks and potential deadlocks,(unclassified),(unclassified)
18,CLOSED,feat: add Rails WebSocket integration helper (AgentJob + ActionCable),(unclassified),(unclassified)
17,CLOSED,feat: add multi-agent handoff and AgentRunner,(unclassified),(unclassified)
16,CLOSED,feat: add before_completion hook for intercepting LLM requests,(unclassified),(unclassified)
14,CLOSED,Add YARD documentation and publish API reference via GitHub Pages,(unclassified),(unclassified)
13,CLOSED,Memory: add optional async write support via ActiveJob,(unclassified),(unclassified)
12,CLOSED,Graph::ParallelNode: add per-branch timeout and configurable failure policy,(unclassified),(unclassified)
11,CLOSED,Add retry mechanism with exponential backoff for transient LLM/tool errors,(unclassified),(unclassified)
10,CLOSED,feat: EntityMemory — per-entity key-value memory,(unclassified),(unclassified)
9,CLOSED,feat: Document Loaders and Text Splitters for RAG,(unclassified),(unclassified)
8,CLOSED,"feat: Evaluation framework (golden sets, LLM-as-a-Judge, A/B comparison)",(unclassified),(unclassified)
7,CLOSED,"feat: Subgraph nesting, parallel nodes, and Agent-as-Tool",(unclassified),(unclassified)
6,CLOSED,feat: OpenTelemetry and Langfuse tracer adapters,(unclassified),(unclassified)
5,CLOSED,"feat: Embeddings abstraction and additional VectorStore backends (Pgvector, Redis)",(unclassified),(unclassified)
4,CLOSED,feat: PromptTemplate with variable interpolation,(unclassified),(unclassified)
3,CLOSED,feat: MCP HTTP/SSE transport for McpTool,(unclassified),(unclassified)
2,CLOSED,feat: Agent token-level streaming,(unclassified),(unclassified)
